,nadq100,nadq_comp,sp500,rus2000,VIX,30yr_yield,10yr_yield,5yr_yield,copper,oil,gold,Dollar
845,13650.5244140625,13916.08203125,3921.050048828125,2251.28564453125,22.229999542236328,2.0460000038146973,1.2790000438690186,0.5530000329017639,3.9019999504089355,61.22999954223633,1774.5999755859375,90.70999908447266
846,13690.091796875,13955.2216796875,3929.02001953125,2256.4833984375,21.440000534057617,2.0440001487731934,1.274999976158142,0.550000011920929,3.885499954223633,60.650001525878906,1777.5,90.7300033569336
847,13699.9736328125,13965.6904296875,3931.550048828125,2256.458251953125,21.399999618530273,2.065999984741211,1.2939999103546143,0.5540000200271606,3.890500068664551,61.119998931884766,1775.4000244140625,90.66999816894531
848,13496.0986328125,13734.5947265625,3891.31005859375,2212.346923828125,23.780000686645508,2.069000005722046,1.3009999990463257,0.5659999847412109,3.9010000228881836,60.7400016784668,1775.0,90.62999725341797
849,13554.041015625,13802.384765625,3899.510009765625,2222.7216796875,23.34000015258789,2.0799999237060547,1.2990000247955322,0.5609999895095825,3.9124999046325684,59.91999816894531,1773.199951171875,90.63999938964844
850,13560.0625,13804.18359375,3899.239990234375,2219.667724609375,23.149999618530273,2.0959999561309814,1.312999963760376,0.5690000057220459,3.9135000705718994,60.400001525878906,1774.199951171875,90.5999984741211
851,13604.07421875,13844.421875,3909.8798828125,2223.736328125,22.229999542236328,2.059999942779541,1.2869999408721924,0.5530000329017639,3.9079999923706055,60.09000015258789,1773.5999755859375,90.55000305175781
852,13615.859375,13859.609375,3914.409912109375,2228.478271484375,22.030000686645508,2.062000036239624,1.284000039100647,0.550000011920929,4.060999870300293,60.22999954223633,1786.199951171875,90.30000305175781
853,13656.1142578125,13895.0615234375,3918.97998046875,2230.013916015625,22.190000534057617,2.072000026702881,1.2869999408721924,0.5479999780654907,4.0894999504089355,60.04999923706055,1785.0,90.30500030517578
854,13637.134765625,13865.119140625,3913.919921875,2219.028564453125,22.610000610351562,2.070000171661377,1.281999945640564,0.5429999828338623,4.064000129699707,59.43000030517578,1782.699951171875,90.24500274658203
855,13663.4951171875,13938.3154296875,3924.340087890625,2261.635009765625,21.579999923706055,2.0759999752044678,1.2869999408721924,0.5479999780654907,4.072500228881836,59.27000045776367,1782.0,90.29000091552734
856,13697.8642578125,13976.7841796875,3930.030029296875,2270.48291015625,21.06999969482422,2.1089999675750732,1.3209999799728394,0.5709999799728394,4.067500114440918,59.630001068115234,1779.0,90.38999938964844
857,13622.4189453125,13915.279296875,3916.89990234375,2268.772216796875,21.709999084472656,2.111999988555908,1.3250000476837158,0.5690000057220459,4.058499813079834,58.97999954223633,1779.0999755859375,90.36000061035156
858,13578.0859375,13876.251953125,3911.260009765625,2266.506591796875,22.06999969482422,2.125,1.3300000429153442,0.5740000009536743,4.058000087738037,58.970001220703125,1781.0999755859375,90.3550033569336
859,13560.15234375,13857.0439453125,3904.7900390625,2263.946533203125,22.329999923706055,2.131999969482422,1.3399999141693115,0.5809999704360962,4.120500087738037,60.77000045776367,1804.0999755859375,90.15499877929688
860,13598.076171875,13882.916015625,3913.27001953125,2260.21630859375,21.729999542236328,2.136000156402588,1.343000054359436,0.5809999704360962,4.11899995803833,61.06999969482422,1808.5,90.16999816894531
861,13579.478515625,13873.2021484375,3906.8701171875,2266.45703125,21.790000915527344,2.1410000324249268,1.347000002861023,0.5820000171661377,4.130499839782715,61.130001068115234,1811.300048828125,90.06500244140625
862,13361.7021484375,13677.669921875,3882.39990234375,2263.462890625,23.6200008392334,2.1399998664855957,1.3450000286102295,0.5809999704360962,4.14300012588501,61.02000045776367,1808.5999755859375,90.00499725341797
863,13340.5712890625,13650.1806640625,3885.820068359375,2262.53955078125,22.84000015258789,2.138000011444092,1.3450000286102295,0.5870000123977661,4.142000198364258,61.38999938964844,1807.9000244140625,90.01499938964844
864,13301.2734375,13626.09765625,3886.949951171875,2271.324462890625,22.709999084472656,2.13100004196167,1.3350000381469727,0.5820000171661377,4.14300012588501,61.689998626708984,1807.800048828125,90.00499725341797
865,13366.076171875,13681.703125,3899.080078125,2272.826171875,22.110000610351562,2.132999897003174,1.3359999656677246,0.5870000123977661,4.10699987411499,61.25,1800.699951171875,90.22000122070312
866,13358.2138671875,13675.423828125,3899.110107421875,2272.9580078125,22.170000076293945,2.1459999084472656,1.347000002861023,0.5889999866485596,4.151500225067139,61.18000030517578,1806.300048828125,90.05500030517578
867,13261.1650390625,13571.0068359375,3883.4599609375,2254.907470703125,23.059999465942383,2.1640000343322754,1.3589999675750732,0.593999981880188,4.179999828338623,61.61000061035156,1806.699951171875,90.16999816894531
868,13220.7724609375,13535.6171875,3877.4599609375,2251.221923828125,23.700000762939453,2.172999858856201,1.3650000095367432,0.593999981880188,4.179999828338623,61.47999954223633,1806.300048828125,90.16500091552734
869,13032.9951171875,13307.763671875,3849.8798828125,2212.573974609375,24.34000015258789,2.179999828338623,1.3700000047683716,0.597000002861023,4.197999954223633,61.689998626708984,1803.0,90.11499786376953
870,13033.8798828125,13304.509765625,3853.64990234375,2207.337646484375,24.479999542236328,2.1989998817443848,1.371999979019165,0.590999960899353,4.203000068664551,61.970001220703125,1803.0999755859375,90.16500091552734
871,13008.115234375,13277.99609375,3848.800048828125,2204.7607421875,24.510000228881836,2.190999984741211,1.3669999837875366,0.5830000042915344,4.209499835968018,61.9900016784668,1804.300048828125,90.12999725341797
872,13047.1005859375,13315.84375,3857.60009765625,2210.8544921875,23.739999771118164,2.181999921798706,1.347999930381775,0.5730000138282776,4.192500114440918,62.72999954223633,1784.300048828125,90.30000305175781
873,13090.16015625,13362.4990234375,3865.52001953125,2220.697021484375,23.6200008392334,2.191999912261963,1.3569999933242798,0.578000009059906,4.215000152587891,62.939998626708984,1793.699951171875,90.33499908447266
874,13253.8720703125,13520.8232421875,3895.139892578125,2240.78125,22.610000610351562,2.202000141143799,1.3600000143051147,0.5830000042915344,4.233500003814697,63.04999923706055,1801.300048828125,90.21499633789062
875,13190.40625,13461.9052734375,3880.72998046875,2232.23828125,23.0,2.1989998817443848,1.3600000143051147,0.5789999961853027,4.2870001792907715,62.959999084472656,1797.699951171875,90.20999908447266
876,13087.5625,13390.5439453125,3881.050048828125,2245.8701171875,23.510000228881836,2.200000047683716,1.3619999885559082,0.5789999961853027,4.309000015258789,63.25,1796.800048828125,90.19999694824219
877,13172.8974609375,13494.541015625,3900.52001953125,2271.91357421875,22.690000534057617,2.257999897003174,1.3910000324249268,0.5960000157356262,4.298999786376953,63.16999816894531,1796.5,90.16999816894531
878,13234.7080078125,13555.37109375,3915.22998046875,2281.697021484375,22.200000762939453,2.2850000858306885,1.4249999523162842,0.6179999709129333,4.306000232696533,63.2599983215332,1801.5999755859375,90.05000305175781
879,13237.6015625,13556.9482421875,3920.31005859375,2281.037353515625,21.920000076293945,2.2660000324249268,1.406000018119812,0.6100000143051147,4.310500144958496,62.869998931884766,1780.0,89.69000244140625
880,13245.1953125,13553.6484375,3922.159912109375,2278.056884765625,21.760000228881836,2.2330000400543213,1.3840000629425049,0.6050000190734863,4.285999774932861,63.119998931884766,1774.300048828125,89.83000183105469
881,13277.6826171875,13577.7705078125,3925.139892578125,2279.6064453125,21.579999923706055,2.2239999771118164,1.3739999532699585,0.6000000238418579,4.287499904632568,63.650001525878906,1779.0999755859375,89.83999633789062
882,13302.6611328125,13603.6357421875,3925.760009765625,2285.1669921875,21.3799991607666,2.2200000286102295,1.371999979019165,0.6039999723434448,4.257500171661377,63.33000183105469,1771.5999755859375,89.9749984741211
883,13154.009765625,13469.1201171875,3902.610107421875,2269.03564453125,23.049999237060547,2.242000102996826,1.3890000581741333,0.6119999885559082,4.253499984741211,63.209999084472656,1776.9000244140625,90.13500213623047
884,13105.849609375,13417.4755859375,3890.719970703125,2257.93359375,23.540000915527344,2.2899999618530273,1.4459999799728394,0.6829999685287476,4.251500129699707,63.33000183105469,1771.9000244140625,90.12999725341797
885,12955.6845703125,13252.34765625,3860.43994140625,2228.381103515625,25.469999313354492,2.2929999828338623,1.4579999446868896,0.7199999690055847,4.2245001792907715,63.369998931884766,1768.699951171875,90.28500366210938
886,12945.2255859375,13244.603515625,3851.639892578125,2234.062744140625,26.770000457763672,2.2990000247955322,1.475000023841858,0.746999979019165,4.160999774932861,62.61000061035156,1742.5999755859375,90.5999984741211
887,13018.978515625,13323.8623046875,3870.9599609375,2246.1787109375,25.639999389648438,2.2899999618530273,1.4560000896453857,0.7120000123977661,4.138000011444092,62.27000045776367,1728.5,90.52999877929688
888,12834.904296875,13131.3642578125,3828.89990234375,2211.291015625,29.889999389648438,2.322000026702881,1.49399995803833,0.7680000066757202,4.110499858856201,62.2400016784668,1716.0,90.81999969482422
